original_metabolite_name	feature	direction_in_IBS	coef	stderr	pval	qval	N	N.not.0
N-delta-acetylornithine	met_N_delta_acetylornithine	Lower in IBS	-0.65086492139668	0.16360388465042	8.41592750759312e-05	0.00446291685182071	368	368
riboflavin (Vitamin B2)	met_riboflavin_Vitamin_B2	Lower in IBS	-0.386817581326159	0.105912757995743	0.000299117995136191	0.0115980590372162	368	368
3-phenylpropionate (hydrocinnamate)	met_3_phenylpropionate_hydrocinnamate	Lower in IBS	-1.22612475901286	0.336984566338244	0.000314886579165376	0.0117666425333715	368	368
1-methyladenine	met_1_methyladenine	Lower in IBS	-0.448242216015989	0.124259316945593	0.000353741783470437	0.0125674174501911	368	368
2-keto-3-deoxy-gluconate	met_2_keto_3_deoxy_gluconate	Lower in IBS	-0.530644708694752	0.162435714757702	0.00119378253737	0.031194056737364	368	368
gentisate	met_gentisate	Lower in IBS	-0.72450593676634	0.228065716599455	0.00161994712902117	0.0397382948792539	368	368
palmitate (16:0)	met_palmitate_16_0	Higher in IBS	0.297621858532228	0.0977695820452993	0.00250777924787575	0.0537812146869616	368	368
2-oxoarginine*	met_2_oxoarginine	Lower in IBS	-0.624952104618243	0.208972257579146	0.00297870113525955	0.0604718023017778	368	368
androstenediol (3beta,17beta) disulfate (2)	met_androstenediol_3beta_17beta_disulfate_2	Higher in IBS	0.64986784539447	0.226461744152558	0.00435521456385406	0.0777470481052362	368	368
acesulfame	met_acesulfame	Lower in IBS	-0.952440099017385	0.335721766772335	0.00481548184264959	0.0832835852498534	368	368
nervonate (24:1n9)*	met_nervonate_24_1n9	Higher in IBS	0.58143046144032	0.207488883945702	0.00535354483011698	0.0887580811834567	368	368
3-methylhistidine	met_3_methylhistidine	Lower in IBS	-0.840775885607673	0.311690333492065	0.00732021272964571	0.107085058406854	368	368
I-urobilinogen	met_I_urobilinogen	Higher in IBS	0.935169245520971	0.356320355604713	0.00905201185296644	0.122152776357021	368	368
2,3-dihydroxyisovalerate	met_2_3_dihydroxyisovalerate	Lower in IBS	-0.639208154306273	0.245520288091099	0.00961538412056021	0.127240642710973	368	368
glutamate, gamma-methyl ester	met_glutamate_gamma_methyl_ester	Lower in IBS	-0.357379056808571	0.137856770794294	0.00992488493411619	0.129202653691058	368	368
enterolactone	met_enterolactone	Lower in IBS	-0.745897308361342	0.289428860528468	0.0103652847988607	0.132308222473609	368	368
benzoate	met_benzoate	Lower in IBS	-0.340591827306946	0.133233588452409	0.0109932354464234	0.136984078333941	368	368
N-alpha-acetylornithine	met_N_alpha_acetylornithine	Lower in IBS	-0.338000642022009	0.132997799408552	0.0114657130810609	0.14063048085138	368	368
margarate (17:0)	met_margarate_17_0	Higher in IBS	0.447461136800992	0.177552072894046	0.012167780044526	0.145528814432979	368	368
3-(2-hydroxyphenyl)propionate	met_3_2_hydroxyphenyl_propionate	Lower in IBS	-0.496477748985039	0.19949521283289	0.0132798504012132	0.153355887178859	368	368
2-hydroxyglutarate	met_2_hydroxyglutarate	Lower in IBS	-0.43924099753332	0.176734995277902	0.013403699512418	0.153929109687196	368	368
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	met_1_stearoyl_2_oleoyl_GPC_18_0_18_1	Lower in IBS	-0.524236876689975	0.211051820888889	0.0134549761001738	0.154257987436489	368	368
N-acetylpyrraline	met_N_acetylpyrraline	Lower in IBS	-0.462626668363022	0.18917141178452	0.0149485514147357	0.164845493582682	368	368
8-hydroxyguanine	met_8_hydroxyguanine	Lower in IBS	-0.412243583644864	0.170535877469794	0.0161375511050751	0.172893871091014	368	368
N-acetylhistidine	met_N_acetylhistidine	Lower in IBS	-0.380215514573084	0.160069970463716	0.0180647925958183	0.186385242061576	368	368
N-palmitoylglycine	met_N_palmitoylglycine	Higher in IBS	0.441432525064036	0.187049454570887	0.0188165049191998	0.191402868092057	368	368
anserine	met_anserine	Lower in IBS	-0.512605296055776	0.220699321829113	0.0207632390693163	0.200741953370327	368	368
3-hydroxyphenylacetate	met_3_hydroxyphenylacetate	Lower in IBS	-0.443325535542119	0.192175531116554	0.0216366711858109	0.204848664002082	368	368
3-aminoisobutyrate	met_3_aminoisobutyrate	Higher in IBS	0.667262487663866	0.289320529973517	0.0216688114229972	0.204848664002082	368	368
palmitoleate (16:1n7)	met_palmitoleate_16_1n7	Higher in IBS	0.59124313664017	0.257087552955238	0.0220407363748494	0.207450253885772	368	368
indolepropionate	met_indolepropionate	Lower in IBS	-0.560452069891339	0.245769029738119	0.0231761465245032	0.212516346470634	368	368
5-acetylamino-6-formylamino-3-methyluracil	met_5_acetylamino_6_formylamino_3_methyluracil	Lower in IBS	-0.538062028064292	0.236658915672441	0.0235881772415214	0.214524507270936	368	368
nonadecanoate (19:0)	met_nonadecanoate_19_0	Higher in IBS	0.393136405136226	0.174165792409508	0.0245994547079626	0.219742548252519	368	368
valine betaine	met_valine_betaine	Lower in IBS	-0.310266949338118	0.137472107980253	0.0246189654725506	0.219742548252519	368	368
arabinose	met_arabinose	Lower in IBS	-0.466288359833357	0.207044599832642	0.0249255225661828	0.221382843284865	368	368
pyridoxamine	met_pyridoxamine	Lower in IBS	-0.264197711053304	0.118311569092685	0.0261672899148466	0.225739826394586	368	368
beta-hydroxyisovalerate	met_beta_hydroxyisovalerate	Lower in IBS	-0.478365511302372	0.214568557384822	0.0264104498272798	0.227094620816408	368	368
phenol sulfate	met_phenol_sulfate	Lower in IBS	-0.64029161261664	0.288345763829895	0.0270109615719296	0.229457326031424	368	368
indolelactate	met_indolelactate	Lower in IBS	-0.554703946383552	0.249804053327209	0.0270118233223349	0.229457326031424	368	368
phenyllactate (PLA)	met_phenyllactate_PLA	Lower in IBS	-0.583894108103113	0.264169295491988	0.0277214779760176	0.232473603677952	368	368
L-urobilin	met_L_urobilin	Lower in IBS	-0.59244246517205	0.268248191890265	0.0278436211637726	0.233226708284701	368	368
xanthurenate	met_xanthurenate	Lower in IBS	-0.548344113759509	0.25313937450321	0.0309628946321657	0.245929951637862	368	368
N-acetyl-1-methylhistidine*	met_N_acetyl_1_methylhistidine	Lower in IBS	-0.54686667977463	0.252933367060117	0.0312782238853014	0.247888517209663	368	368
